iter	Passed	Remaining
0	154	154407
1	155	77448
2	155	51773
3	156	38926
4	156	31236
5	157	26110
6	158	22444
7	158	19714
8	159	17586
9	160	15873
10	161	14476
11	161	13330
12	162	12356
13	163	11507
14	163	10767
15	164	10122
16	165	9556
17	165	9051
18	166	8598
19	167	8186
20	167	7820
21	168	7489
22	169	7184
23	169	6901
24	170	6641
25	170	6404
26	171	6185
27	172	5982
28	173	5810
29	174	5631
30	174	5464
31	175	5306
32	176	5158
33	176	5019
34	177	4887
35	177	4763
36	178	4646
37	179	4534
38	179	4428
39	180	4327
40	180	4231
41	181	4140
42	182	4053
43	182	3971
44	183	3893
45	184	3817
46	184	3744
47	185	3674
48	185	3607
49	186	3551
50	187	3490
51	188	3430
52	188	3373
53	189	3321
54	190	3269
55	190	3219
56	191	3169
57	192	3122
58	193	3079
59	193	3037
60	194	2993
61	195	2951
62	195	2910
63	196	2870
64	196	2831
65	197	2795
66	198	2759
67	198	2724
68	199	2690
69	200	2657
70	200	2625
71	201	2593
72	201	2563
73	202	2535
74	203	2507
75	204	2481
76	204	2454
77	205	2426
78	205	2399
79	206	2374
80	207	2349
81	207	2325
82	207	2297
83	208	2274
84	209	2251
85	209	2229
86	210	2208
87	211	2189
88	212	2170
89	212	2151
90	213	2131
91	214	2113
92	214	2093
93	215	2075
94	216	2058
95	216	2041
96	217	2024
97	218	2008
98	218	1991
99	219	1975
100	220	1958
101	220	1943
102	221	1927
103	222	1913
104	222	1899
105	223	1885
106	224	1870
107	224	1856
108	225	1843
109	226	1829
110	226	1816
111	227	1803
112	228	1790
113	229	1780
114	229	1769
115	230	1757
116	231	1744
117	231	1733
118	232	1722
119	233	1713
120	234	1706
121	235	1694
122	236	1683
123	236	1673
124	237	1662
125	238	1650
126	238	1639
127	239	1628
128	239	1617
129	240	1608
130	241	1598
131	241	1588
132	242	1579
133	243	1570
134	243	1561
135	244	1551
136	244	1542
137	245	1533
138	246	1525
139	246	1517
140	247	1509
141	248	1499
142	248	1492
143	249	1484
144	250	1475
145	250	1467
146	251	1460
147	252	1452
148	253	1447
149	254	1442
150	255	1435
151	256	1430
152	257	1423
153	257	1415
154	258	1408
155	259	1401
156	259	1394
157	260	1387
158	260	1380
159	261	1373
160	262	1365
161	262	1359
162	263	1352
163	264	1345
164	264	1339
165	265	1334
166	266	1328
167	266	1321
168	267	1315
169	268	1309
170	268	1303
171	269	1298
172	270	1292
173	271	1287
174	272	1284
175	273	1278
176	273	1272
177	274	1266
178	274	1260
179	275	1254
180	276	1249
181	276	1244
182	277	1239
183	278	1234
184	279	1229
185	279	1224
186	280	1218
187	280	1213
188	281	1207
189	282	1202
190	282	1197
191	283	1193
192	284	1189
193	285	1184
194	285	1180
195	286	1175
196	287	1170
197	288	1167
198	289	1165
199	290	1161
200	290	1156
201	291	1151
202	292	1146
203	292	1142
204	293	1137
205	293	1133
206	294	1129
207	295	1126
208	296	1122
209	297	1117
210	297	1113
211	298	1108
212	298	1104
213	299	1100
214	300	1096
215	301	1095
216	302	1092
217	303	1089
218	304	1085
219	304	1081
220	305	1076
221	306	1073
222	306	1069
223	307	1066
224	308	1062
225	309	1058
226	309	1055
227	310	1051
228	311	1047
229	311	1043
230	312	1039
231	313	1037
232	314	1033
233	314	1030
234	315	1028
235	316	1025
236	317	1023
237	318	1019
238	319	1016
239	319	1012
240	320	1009
241	320	1005
242	321	1001
243	322	998
244	322	995
245	323	991
246	324	988
247	325	985
248	325	982
249	326	979
250	327	976
251	327	972
252	328	969
253	329	966
254	330	965
255	331	964
256	332	961
257	333	958
258	333	955
259	334	952
260	335	948
261	336	947
262	336	944
263	337	941
264	338	938
265	338	935
266	339	932
267	340	929
268	341	927
269	341	924
270	342	921
271	343	918
272	344	917
273	345	915
274	346	913
275	347	912
276	348	909
277	349	906
278	349	903
279	350	900
280	350	897
281	351	894
282	352	892
283	353	891
284	354	888
285	355	886
286	355	883
287	356	881
288	357	878
289	357	875
290	358	873
291	359	871
292	360	868
293	360	866
294	361	864
295	362	861
296	362	859
297	363	856
298	364	853
299	364	851
300	365	848
301	366	846
302	366	843
303	367	841
304	368	839
305	369	837
306	370	835
307	371	833
308	371	831
309	372	829
310	373	826
311	374	825
312	375	824
313	376	822
314	378	822
315	379	821
316	380	819
317	380	816
318	381	814
319	382	812
320	383	810
321	383	808
322	384	806
323	385	803
324	385	801
325	386	799
326	387	796
327	388	795
328	388	793
329	389	791
330	390	788
331	390	786
332	391	784
333	392	781
334	392	779
335	393	777
336	393	775
337	394	772
338	395	770
339	395	768
340	396	766
341	397	764
342	397	762
343	398	760
344	399	758
345	400	756
346	400	754
347	401	752
348	402	749
349	402	747
350	403	745
351	403	743
352	404	741
353	405	739
354	406	737
355	407	736
356	408	735
357	408	733
358	409	731
359	410	728
360	410	726
361	411	724
362	411	722
363	412	721
364	413	719
365	414	717
366	415	716
367	415	714
368	416	712
369	417	710
370	417	708
371	418	706
372	419	704
373	419	702
374	420	701
375	421	699
376	422	697
377	422	695
378	423	693
379	424	691
380	424	689
381	425	687
382	425	686
383	426	684
384	427	682
385	428	680
386	428	679
387	429	677
388	430	675
389	430	673
390	431	671
